disease,n_in_window,n_promoted,n_demoted,n_unchanged,promo_rate,demo_rate,net,net_rate,mean_promo_delta,mean_demo_delta
Tuberous sclerosis-2,8,6,0,2,0.75,0.0,6,0.75,1.0,0
"Neurofibromatosis, type 1",204,103,0,101,0.5049,0.0,103,0.5049,1.81,0
"Fanconi anemia, complementation group C",4,2,0,2,0.5,0.0,2,0.5,4.0,0
Sulfite oxidase deficiency,14,7,1,6,0.5,0.0714,6,0.4286,5.57,1.0
CHARGE syndrome,3,1,0,2,0.3333,0.0,1,0.3333,1.0,0
Distal renal tubular acidosis 4 with hemolytic anemia,7,2,0,5,0.2857,0.0,2,0.2857,2.0,0
"Fanconi anemia, complementation group I",4,1,0,3,0.25,0.0,1,0.25,4.0,0
Bardet-Biedl syndrome 1,13,3,0,10,0.2308,0.0,3,0.2308,1.0,0
Rubinstein-Taybi syndrome 2,9,2,0,7,0.2222,0.0,2,0.2222,1.0,0
HMG-CoA synthase-2 deficiency,39,8,0,31,0.2051,0.0,8,0.2051,1.25,0
Holt-Oram syndrome,100,20,0,80,0.2,0.0,20,0.2,2.6,0
"Osteogenesis imperfecta, type IX",5,1,0,4,0.2,0.0,1,0.2,1.0,0
Craniofrontonasal dysplasia,6,1,0,5,0.1667,0.0,1,0.1667,6.0,0
Greig cephalopolysyndactyly syndrome,43,7,0,36,0.1628,0.0,7,0.1628,1.86,0
"Short stature, optic nerve atrophy, and Pelger-Huet anomaly",14,2,0,12,0.1429,0.0,2,0.1429,2.5,0
Marfan syndrome,45,6,0,39,0.1333,0.0,6,0.1333,1.67,0
Coffin-Siris syndrome 8,9,1,0,8,0.1111,0.0,1,0.1111,2.0,0
Joubert syndrome 10,10,1,0,9,0.1,0.0,1,0.1,1.0,0
Kabuki syndrome 2,20,2,0,18,0.1,0.0,2,0.1,1.0,0
Loeys-Dietz syndrome 1,22,2,0,20,0.0909,0.0,2,0.0909,2.0,0
Noonan syndrome 1,12,1,0,11,0.0833,0.0,1,0.0833,2.0,0
Weiss-Kruszka syndrome,25,2,0,23,0.08,0.0,2,0.08,1.0,0
"Ehlers-Danlos syndrome, vascular type",26,2,0,24,0.0769,0.0,2,0.0769,1.5,0
Neurodegeneration with brain iron accumulation 1,15,1,0,14,0.0667,0.0,1,0.0667,1.0,0
Loeys-Dietz syndrome 4,31,2,0,29,0.0645,0.0,2,0.0645,1.5,0
Orofaciodigital syndrome I,16,1,0,15,0.0625,0.0,1,0.0625,1.0,0
"Hypomagnesemia 3, renal",49,3,0,46,0.0612,0.0,3,0.0612,2.0,0
"Spinocerebellar ataxia 29, congenital nonprogressive",66,4,0,62,0.0606,0.0,4,0.0606,1.25,0
Developmental and epileptic encephalopathy 11,17,1,0,16,0.0588,0.0,1,0.0588,1.0,0
Distal renal tubular acidosis 1,17,1,0,16,0.0588,0.0,1,0.0588,2.0,0
Kleefstra syndrome 1,120,7,0,113,0.0583,0.0,7,0.0583,1.86,0
Kabuki Syndrome 1,60,3,0,57,0.05,0.0,3,0.05,2.33,0
"Coenzyme Q10 deficiency, primary, 7",29,1,0,28,0.0345,0.0,1,0.0345,3.0,0
Intellectual developmental disorder with autism and macrocephaly,61,2,0,59,0.0328,0.0,2,0.0328,1.0,0
White-Sutton syndrome,77,1,0,76,0.013,0.0,1,0.013,6.0,0
Developmental and epileptic encephalopathy 4,104,1,0,103,0.0096,0.0,1,0.0096,9.0,0
KBG syndrome,153,3,2,148,0.0196,0.0131,1,0.0065,1.0,1.0
"Amyloidosis, hereditary systemic 3",9,0,0,9,0.0,0.0,0,0.0,0,0
"Chronic granulomatous disease 2, autosomal recessive",5,0,0,5,0.0,0.0,0,0.0,0,0
"Amyloidosis, hereditary systemic 5",4,0,0,4,0.0,0.0,0,0.0,0,0
"Cardiomyopathy, dilated, 1A",27,0,0,27,0.0,0.0,0,0.0,0,0
