model,dataset,n,policy_mrr,strict_mrr,policy_hit@1,policy_hit@3,policy_hit@5,policy_hit@10,strict_hit@1,strict_hit@3,strict_hit@5,strict_hit@10
llama-3.3-70b,phenopacket,6898,0.22553133871511025,0.19204462518825294,0.16671498985213104,0.2632647144099739,0.30269643374891275,0.34633227022325314,0.14308495216004638,0.21861409104088142,0.25572629747752973,0.29878225572629746
llama70b-legacy,phenopacket,6898,0.23577210095403775,0.20790135857184278,0.18048709770948101,0.26906349666570023,0.3061757031023485,0.35546535227602205,0.16251087271672948,0.23006668599594085,0.2654392577558713,0.31661351116265585
gemma-4-31b,phenopacket,6898,0.19120431733145563,0.15580407479508668,0.1570020295737895,0.21035082632647145,0.23630037692084663,0.2660191359814439,0.12249927515221803,0.1743983763409684,0.19933314004059147,0.23108147289069295
med42-70b,phenopacket,6898,0.19881297184501012,0.17065786006783398,0.13366193099449117,0.24441867207886345,0.28761959988402436,0.3256016236590316,0.11539576688895332,0.2104957958828646,0.24093940272542766,0.2776167004928965
qwen2.5-32b,phenopacket,6898,0.16385662636387482,0.13308637779861324,0.12728327051319224,0.19222963177732677,0.21600463902580458,0.23789504204117135,0.10539286749782546,0.15062336909249058,0.17077413743113945,0.19483908379240358
medgemma-27b,phenopacket,6898,0.15775236208332757,0.1258968553111783,0.12423890982893593,0.18382139750652363,0.20223253116845463,0.22165845172513773,0.10234850681356915,0.14308495216004638,0.15830675558132792,0.17294868077703682
llama-3.3-70b,HMS,68,0.23713235294117646,0.23713235294117646,0.17647058823529413,0.27941176470588236,0.3088235294117647,0.36764705882352944,0.17647058823529413,0.27941176470588236,0.3088235294117647,0.36764705882352944
med42-70b,HMS,68,0.2378267973856209,0.2378267973856209,0.20588235294117646,0.25,0.27941176470588236,0.3235294117647059,0.20588235294117646,0.25,0.27941176470588236,0.3235294117647059
gemma-3-27b,HMS,68,0.22916666666666669,0.22916666666666669,0.16176470588235295,0.2647058823529412,0.3382352941176471,0.36764705882352944,0.16176470588235295,0.2647058823529412,0.3382352941176471,0.36764705882352944
gemma-4-31b,HMS,68,0.20575980392156865,0.20575980392156865,0.1323529411764706,0.22058823529411764,0.3088235294117647,0.4264705882352941,0.1323529411764706,0.22058823529411764,0.3088235294117647,0.4264705882352941
medgemma-27b,HMS,68,0.182125350140056,0.182125350140056,0.1323529411764706,0.22058823529411764,0.25,0.27941176470588236,0.1323529411764706,0.22058823529411764,0.25,0.27941176470588236
qwen2.5-32b,HMS,68,0.1386204481792717,0.1386204481792717,0.10294117647058823,0.14705882352941177,0.19117647058823528,0.25,0.10294117647058823,0.14705882352941177,0.19117647058823528,0.25
llama-3.3-70b,LIRICAL,370,0.24815978315978315,0.2185952185952186,0.2,0.2702702702702703,0.3108108108108108,0.3567567567567568,0.17027027027027028,0.23783783783783785,0.28378378378378377,0.3324324324324324
med42-70b,LIRICAL,370,0.22626662376662376,0.20336121836121834,0.1837837837837838,0.24864864864864866,0.2810810810810811,0.3567567567567568,0.15945945945945947,0.22702702702702704,0.26216216216216215,0.3324324324324324
gemma-3-27b,LIRICAL,370,0.16927284427284428,0.1362022737022737,0.13513513513513514,0.1918918918918919,0.20810810810810812,0.2594594594594595,0.10810810810810811,0.15405405405405406,0.17027027027027028,0.21621621621621623
gemma-4-31b,LIRICAL,370,0.22707099957099958,0.19995388245388246,0.1864864864864865,0.25675675675675674,0.27837837837837837,0.3081081081081081,0.15675675675675677,0.22972972972972974,0.25135135135135134,0.2891891891891892
medgemma-27b,LIRICAL,370,0.14886422136422137,0.12444980694980695,0.10810810810810811,0.1783783783783784,0.2,0.23513513513513515,0.0891891891891892,0.15405405405405406,0.16756756756756758,0.2
qwen2.5-32b,LIRICAL,370,0.17704847704847704,0.15425568425568426,0.14324324324324325,0.1918918918918919,0.22972972972972974,0.2594594594594595,0.12702702702702703,0.16756756756756758,0.1945945945945946,0.22702702702702704
llama-3.3-70b,MME,40,0.06583333333333333,0.06583333333333333,0.05,0.075,0.1,0.125,0.05,0.075,0.1,0.125
med42-70b,MME,40,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
gemma-3-27b,MME,40,0.008571428571428572,0.008571428571428572,0.0,0.0,0.025,0.05,0.0,0.0,0.025,0.05
gemma-4-31b,MME,40,0.00625,0.00625,0.0,0.0,0.025,0.025,0.0,0.0,0.025,0.025
medgemma-27b,MME,40,0.015625,0.015625,0.0,0.0,0.05,0.075,0.0,0.0,0.05,0.075
qwen2.5-32b,MME,40,0.004166666666666667,0.004166666666666667,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.025
llama-3.3-70b,RAMEDIS,624,0.5464731449106449,0.5464731449106449,0.4599358974358974,0.594551282051282,0.6666666666666666,0.719551282051282,0.4599358974358974,0.594551282051282,0.6666666666666666,0.719551282051282
med42-70b,RAMEDIS,624,0.548458485958486,0.548458485958486,0.46794871794871795,0.5913461538461539,0.6410256410256411,0.7243589743589743,0.46794871794871795,0.5913461538461539,0.6410256410256411,0.7243589743589743
