model,dataset,prompt,topk,n_fair_cases,retriever_hit@1,retriever_mrr,reranker_hit@1,reranker_hit@3,reranker_mrr,delta_hit@1,delta_mrr
gemma3-27b,phenopacket,pp2prompt_v2,10,4963,0.7124722949828732,0.807799302137404,0.6663308482772516,0.8613741688494861,0.7779059484630712,-0.04614144670562159,-0.02989335367433288
gemma3-27b,phenopacket,pp2prompt_v2,3,4366,0.809894640403115,0.8937624064742709,0.7817224003664681,1.0,0.8795235913879982,-0.028172240036646867,-0.014238815086272671
gemma3-27b,phenopacket,pp2prompt_v2,5,4637,0.76256200129394,0.855049960462943,0.7233124865214579,0.93918481777011,0.8329990654877435,-0.039249514772482175,-0.02205089497519952
gemma3-27b,rarebench,pp2prompt_v2,10,573,0.506108202443281,0.6576269425745865,0.6073298429319371,0.8411867364746946,0.7411202526385772,0.10122164048865612,0.08349331006399063
gemma3-27b,rarebench,pp2prompt_v2,3,429,0.675990675990676,0.818958818958819,0.7435897435897436,1.0,0.8581973581973582,0.06759906759906764,0.03923853923853926
gemma3-27b,rarebench,pp2prompt_v2,5,492,0.5894308943089431,0.7432588075880759,0.6605691056910569,0.9146341463414634,0.7934281842818428,0.07113821138211374,0.050169376693766865
gemma3-27b,rarebench,v7,10,573,0.506108202443281,0.6576269425745865,0.5287958115183246,0.7783595113438045,0.6776150308872821,0.022687609075043524,0.019988088312695607
gemma3-27b,rarebench,v7,3,429,0.675990675990676,0.818958818958819,0.682983682983683,1.0,0.8255633255633256,0.006993006993006978,0.006604506604506621
gemma3-27b,rarebench,v7,5,492,0.5894308943089431,0.7432588075880759,0.5934959349593496,0.9004065040650406,0.7515921409214092,0.004065040650406471,0.008333333333333304
gemma3-27b,phenopacket,v7,10,4963,0.7124722949828732,0.807799302137404,0.7177110618577474,0.8875680032238565,0.8122795991927566,0.005238766874874123,0.004480297055352578
gemma3-27b,phenopacket,v7,3,4366,0.809894640403115,0.8937624064742709,0.8114979386165827,1.0,0.8954420522217132,0.0016032982134677187,0.0016796457474423931
gemma3-27b,phenopacket,v7,5,4637,0.76256200129394,0.855049960462943,0.7660125080871253,0.9486737114513695,0.8585004672561283,0.0034505067931852595,0.0034505067931852595
gemma4-31b,phenopacket,pp2prompt_v2,10,4963,0.7124722949828732,0.807799302137404,0.7160991335885553,0.8821277453153334,0.8103699119516166,0.0036268386056820257,0.002570609814212532
gemma4-31b,phenopacket,pp2prompt_v2,3,4366,0.809894640403115,0.8937624064742709,0.7993586807146129,1.0,0.8891815544357917,-0.010535959688502072,-0.004580852038479133
gemma4-31b,phenopacket,pp2prompt_v2,5,4637,0.76256200129394,0.855049960462943,0.7591114945007548,0.9370282510243692,0.853119833225505,-0.0034505067931852595,-0.0019301272374380174
gemma4-31b,rarebench,pp2prompt_v2,10,573,0.506108202443281,0.6576269425745865,0.6143106457242583,0.8359511343804538,0.7435718440954043,0.10820244328097728,0.0859449015208178
gemma4-31b,rarebench,pp2prompt_v2,3,429,0.675990675990676,0.818958818958819,0.7692307692307693,1.0,0.8741258741258742,0.0932400932400933,0.05516705516705522
gemma4-31b,rarebench,pp2prompt_v2,5,492,0.5894308943089431,0.7432588075880759,0.6971544715447154,0.9227642276422764,0.8162262872628726,0.1077235772357723,0.07296747967479666
gemma4-31b,rarebench,v7,10,573,0.506108202443281,0.6576269425745865,0.5130890052356021,0.7486910994764397,0.6614082107537606,0.00698080279232105,0.0037812681791740133
gemma4-31b,rarebench,v7,3,429,0.675990675990676,0.818958818958819,0.6876456876456877,1.0,0.8255633255633256,0.011655011655011704,0.006604506604506621
gemma4-31b,rarebench,v7,5,492,0.5894308943089431,0.7432588075880759,0.5934959349593496,0.8719512195121951,0.7452913279132791,0.004065040650406471,0.00203252032520318
gemma4-31b,phenopacket,v7,10,4963,0.7124722949828732,0.807799302137404,0.7549869030828128,0.8934112431996776,0.8354609027437961,0.042514608099939566,0.02766160060639211
gemma4-31b,phenopacket,v7,3,4366,0.809894640403115,0.8937624064742709,0.8453962437013285,1.0,0.9141471980455032,0.0355016032982135,0.020384791571232297
gemma4-31b,phenopacket,v7,5,4637,0.76256200129394,0.855049960462943,0.7998706059952555,0.9512615915462583,0.878243835813385,0.03730860470131547,0.02319387535044204
llama3.3-70b,phenopacket,pp2prompt_v2,10,4963,0.7124722949828732,0.807799302137404,0.7114648398146283,0.8766874874068104,0.8069768669103748,-0.001007455168244964,-0.0008224352270291835
llama3.3-70b,phenopacket,pp2prompt_v2,3,4366,0.809894640403115,0.8937624064742709,0.8188273018781493,1.0,0.8976943044739655,0.008932661475034354,0.003931897999694622
