model,prompt,topk,gap_range,n,promo,demo,promo_rate,demo_rate,change_rate
gemma3-27b,v7,3,"[0.00,0.03)",1305,27,1,0.020689655172413793,0.0007662835249042146,0.021455938697318006
gemma3-27b,v7,3,"[0.03,0.05)",564,2,0,0.0035460992907801418,0.0,0.0035460992907801418
gemma3-27b,v7,3,"[0.05,0.10)",1022,3,1,0.0029354207436399216,0.0009784735812133072,0.003913894324853229
gemma3-27b,v7,3,"[0.10,0.15)",711,0,0,0.0,0.0,0.0
gemma3-27b,v7,3,"[0.15,0.20)",460,0,0,0.0,0.0,0.0
gemma3-27b,v7,3,"[0.20,0.30)",281,0,0,0.0,0.0,0.0
gemma3-27b,v7,3,≥0.30,23,0,0,0.0,0.0,0.0
gemma3-27b,v7,5,"[0.00,0.03)",1496,71,5,0.047459893048128345,0.0033422459893048127,0.05080213903743316
gemma3-27b,v7,5,"[0.03,0.05)",606,11,0,0.018151815181518153,0.0,0.018151815181518153
gemma3-27b,v7,5,"[0.05,0.10)",1058,16,5,0.015122873345935728,0.004725897920604915,0.01984877126654064
gemma3-27b,v7,5,"[0.10,0.15)",712,0,0,0.0,0.0,0.0
gemma3-27b,v7,5,"[0.15,0.20)",461,0,0,0.0,0.0,0.0
gemma3-27b,v7,5,"[0.20,0.30)",281,0,0,0.0,0.0,0.0
gemma3-27b,v7,5,≥0.30,23,0,0,0.0,0.0,0.0
gemma3-27b,v7,10,"[0.00,0.03)",1760,68,1,0.038636363636363635,0.0005681818181818182,0.03920454545454546
gemma3-27b,v7,10,"[0.03,0.05)",652,15,0,0.023006134969325152,0.0,0.023006134969325152
gemma3-27b,v7,10,"[0.05,0.10)",1072,18,4,0.016791044776119403,0.0037313432835820895,0.020522388059701493
gemma3-27b,v7,10,"[0.10,0.15)",714,0,0,0.0,0.0,0.0
gemma3-27b,v7,10,"[0.15,0.20)",461,0,0,0.0,0.0,0.0
gemma3-27b,v7,10,"[0.20,0.30)",281,0,0,0.0,0.0,0.0
gemma3-27b,v7,10,≥0.30,23,0,0,0.0,0.0,0.0
gemma3-27b,pp2prompt_v2,3,"[0.00,0.03)",1305,279,80,0.21379310344827587,0.06130268199233716,0.275095785440613
gemma3-27b,pp2prompt_v2,3,"[0.03,0.05)",564,57,49,0.10106382978723404,0.08687943262411348,0.1879432624113475
gemma3-27b,pp2prompt_v2,3,"[0.05,0.10)",1022,43,118,0.04207436399217221,0.11545988258317025,0.15753424657534246
gemma3-27b,pp2prompt_v2,3,"[0.10,0.15)",711,2,103,0.0028129395218002813,0.14486638537271448,0.14767932489451477
gemma3-27b,pp2prompt_v2,3,"[0.15,0.20)",460,0,65,0.0,0.14130434782608695,0.14130434782608695
gemma3-27b,pp2prompt_v2,3,"[0.20,0.30)",281,0,55,0.0,0.19572953736654805,0.19572953736654805
gemma3-27b,pp2prompt_v2,3,≥0.30,23,0,5,0.0,0.21739130434782608,0.21739130434782608
gemma3-27b,pp2prompt_v2,5,"[0.00,0.03)",1496,382,179,0.2553475935828877,0.1196524064171123,0.375
gemma3-27b,pp2prompt_v2,5,"[0.03,0.05)",606,76,76,0.1254125412541254,0.1254125412541254,0.2508250825082508
gemma3-27b,pp2prompt_v2,5,"[0.05,0.10)",1058,76,165,0.07183364839319471,0.15595463137996218,0.2277882797731569
gemma3-27b,pp2prompt_v2,5,"[0.10,0.15)",712,3,130,0.004213483146067416,0.18258426966292135,0.18679775280898878
gemma3-27b,pp2prompt_v2,5,"[0.15,0.20)",461,0,73,0.0,0.15835140997830802,0.15835140997830802
gemma3-27b,pp2prompt_v2,5,"[0.20,0.30)",281,0,59,0.0,0.2099644128113879,0.2099644128113879
gemma3-27b,pp2prompt_v2,5,≥0.30,23,0,7,0.0,0.30434782608695654,0.30434782608695654
gemma3-27b,pp2prompt_v2,10,"[0.00,0.03)",1760,531,261,0.30170454545454545,0.14829545454545454,0.45
gemma3-27b,pp2prompt_v2,10,"[0.03,0.05)",652,107,112,0.16411042944785276,0.17177914110429449,0.33588957055214724
gemma3-27b,pp2prompt_v2,10,"[0.05,0.10)",1072,82,181,0.07649253731343283,0.16884328358208955,0.2453358208955224
gemma3-27b,pp2prompt_v2,10,"[0.10,0.15)",714,3,146,0.004201680672268907,0.20448179271708683,0.20868347338935575
gemma3-27b,pp2prompt_v2,10,"[0.15,0.20)",461,0,77,0.0,0.16702819956616052,0.16702819956616052
gemma3-27b,pp2prompt_v2,10,"[0.20,0.30)",281,0,66,0.0,0.23487544483985764,0.23487544483985764
gemma3-27b,pp2prompt_v2,10,≥0.30,23,0,7,0.0,0.30434782608695654,0.30434782608695654
gemma4-31b,v7,3,"[0.00,0.03)",1305,136,7,0.10421455938697317,0.0053639846743295016,0.10957854406130269
gemma4-31b,v7,3,"[0.03,0.05)",564,35,12,0.06205673758865248,0.02127659574468085,0.08333333333333333
gemma4-31b,v7,3,"[0.05,0.10)",1022,25,16,0.02446183953033268,0.015655577299412915,0.040117416829745595
gemma4-31b,v7,3,"[0.10,0.15)",711,2,4,0.0028129395218002813,0.005625879043600563,0.008438818565400843
gemma4-31b,v7,3,"[0.15,0.20)",460,0,1,0.0,0.002173913043478261,0.002173913043478261
gemma4-31b,v7,3,"[0.20,0.30)",281,0,2,0.0,0.0071174377224199285,0.0071174377224199285
gemma4-31b,v7,3,≥0.30,23,0,0,0.0,0.0,0.0
gemma4-31b,v7,5,"[0.00,0.03)",1496,134,14,0.08957219251336898,0.009358288770053475,0.09893048128342247
gemma4-31b,v7,5,"[0.03,0.05)",606,41,11,0.06765676567656766,0.018151815181518153,0.0858085808580858
gemma4-31b,v7,5,"[0.05,0.10)",1058,36,15,0.034026465028355386,0.014177693761814745,0.048204158790170135
gemma4-31b,v7,5,"[0.10,0.15)",712,2,4,0.0028089887640449437,0.0056179775280898875,0.008426966292134831
gemma4-31b,v7,5,"[0.15,0.20)",461,0,2,0.0,0.004338394793926247,0.004338394793926247
gemma4-31b,v7,5,"[0.20,0.30)",281,0,2,0.0,0.0071174377224199285,0.0071174377224199285
gemma4-31b,v7,5,≥0.30,23,0,0,0.0,0.0,0.0
gemma4-31b,v7,10,"[0.00,0.03)",1760,140,11,0.07954545454545454,0.00625,0.08579545454545455
gemma4-31b,v7,10,"[0.03,0.05)",652,47,7,0.07208588957055215,0.010736196319018405,0.08282208588957055
gemma4-31b,v7,10,"[0.05,0.10)",1072,30,11,0.027985074626865673,0.010261194029850746,0.03824626865671642
gemma4-31b,v7,10,"[0.10,0.15)",714,2,3,0.0028011204481792717,0.004201680672268907,0.0070028011204481795
gemma4-31b,v7,10,"[0.15,0.20)",461,0,1,0.0,0.0021691973969631237,0.0021691973969631237
gemma4-31b,v7,10,"[0.20,0.30)",281,0,2,0.0,0.0071174377224199285,0.0071174377224199285
gemma4-31b,v7,10,≥0.30,23,0,0,0.0,0.0,0.0
gemma4-31b,pp2prompt_v2,3,"[0.00,0.03)",1305,202,54,0.15478927203065135,0.041379310344827586,0.19616858237547893
gemma4-31b,pp2prompt_v2,3,"[0.03,0.05)",564,31,39,0.0549645390070922,0.06914893617021277,0.12411347517730496
gemma4-31b,pp2prompt_v2,3,"[0.05,0.10)",1022,42,87,0.0410958904109589,0.08512720156555773,0.12622309197651663
gemma4-31b,pp2prompt_v2,3,"[0.10,0.15)",711,2,69,0.0028129395218002813,0.0970464135021097,0.09985935302390998
gemma4-31b,pp2prompt_v2,3,"[0.15,0.20)",460,0,40,0.0,0.08695652173913043,0.08695652173913043
gemma4-31b,pp2prompt_v2,3,"[0.20,0.30)",281,0,27,0.0,0.09608540925266904,0.09608540925266904
gemma4-31b,pp2prompt_v2,3,≥0.30,23,0,1,0.0,0.043478260869565216,0.043478260869565216
gemma4-31b,pp2prompt_v2,5,"[0.00,0.03)",1496,222,66,0.1483957219251337,0.04411764705882353,0.1925133689839572
gemma4-31b,pp2prompt_v2,5,"[0.03,0.05)",606,42,44,0.06930693069306931,0.07260726072607261,0.1419141914191419
gemma4-31b,pp2prompt_v2,5,"[0.05,0.10)",1058,65,101,0.06143667296786389,0.09546313799621928,0.15689981096408318
gemma4-31b,pp2prompt_v2,5,"[0.10,0.15)",712,2,64,0.0028089887640449437,0.0898876404494382,0.09269662921348315
gemma4-31b,pp2prompt_v2,5,"[0.15,0.20)",461,0,35,0.0,0.07592190889370933,0.07592190889370933
gemma4-31b,pp2prompt_v2,5,"[0.20,0.30)",281,0,32,0.0,0.11387900355871886,0.11387900355871886
gemma4-31b,pp2prompt_v2,5,≥0.30,23,0,1,0.0,0.043478260869565216,0.043478260869565216
gemma4-31b,pp2prompt_v2,10,"[0.00,0.03)",1760,166,56,0.09431818181818181,0.031818181818181815,0.12613636363636363
gemma4-31b,pp2prompt_v2,10,"[0.03,0.05)",652,50,28,0.07668711656441718,0.04294478527607362,0.1196319018404908
gemma4-31b,pp2prompt_v2,10,"[0.05,0.10)",1072,43,53,0.04011194029850746,0.049440298507462684,0.08955223880597014
gemma4-31b,pp2prompt_v2,10,"[0.10,0.15)",714,3,34,0.004201680672268907,0.047619047619047616,0.05182072829131653
gemma4-31b,pp2prompt_v2,10,"[0.15,0.20)",461,0,26,0.0,0.05639913232104121,0.05639913232104121
gemma4-31b,pp2prompt_v2,10,"[0.20,0.30)",281,0,19,0.0,0.06761565836298933,0.06761565836298933
gemma4-31b,pp2prompt_v2,10,≥0.30,23,0,1,0.0,0.043478260869565216,0.043478260869565216
llama3.3-70b,v7,3,"[0.00,0.03)",1305,59,0,0.045210727969348656,0.0,0.045210727969348656
llama3.3-70b,v7,3,"[0.03,0.05)",564,21,4,0.03723404255319149,0.0070921985815602835,0.044326241134751775
llama3.3-70b,v7,3,"[0.05,0.10)",1022,16,6,0.015655577299412915,0.005870841487279843,0.021526418786692758
llama3.3-70b,v7,3,"[0.10,0.15)",711,2,1,0.0028129395218002813,0.0014064697609001407,0.004219409282700422
llama3.3-70b,v7,3,"[0.15,0.20)",460,0,0,0.0,0.0,0.0
llama3.3-70b,v7,3,"[0.20,0.30)",281,0,0,0.0,0.0,0.0
llama3.3-70b,v7,3,≥0.30,23,0,0,0.0,0.0,0.0
llama3.3-70b,v7,5,"[0.00,0.03)",1496,55,0,0.03676470588235294,0.0,0.03676470588235294
llama3.3-70b,v7,5,"[0.03,0.05)",606,22,4,0.036303630363036306,0.006600660066006601,0.0429042904290429
llama3.3-70b,v7,5,"[0.05,0.10)",1058,23,6,0.021739130434782608,0.005671077504725898,0.027410207939508508
llama3.3-70b,v7,5,"[0.10,0.15)",712,2,0,0.0028089887640449437,0.0,0.0028089887640449437
llama3.3-70b,v7,5,"[0.15,0.20)",461,0,0,0.0,0.0,0.0
llama3.3-70b,v7,5,"[0.20,0.30)",281,0,0,0.0,0.0,0.0
llama3.3-70b,v7,5,≥0.30,23,0,0,0.0,0.0,0.0
llama3.3-70b,v7,10,"[0.00,0.03)",1760,69,0,0.03920454545454546,0.0,0.03920454545454546
llama3.3-70b,v7,10,"[0.03,0.05)",652,19,4,0.029141104294478526,0.006134969325153374,0.0352760736196319
llama3.3-70b,v7,10,"[0.05,0.10)",1072,26,5,0.024253731343283583,0.0046641791044776115,0.028917910447761194
llama3.3-70b,v7,10,"[0.10,0.15)",714,2,1,0.0028011204481792717,0.0014005602240896359,0.004201680672268907
llama3.3-70b,v7,10,"[0.15,0.20)",461,0,0,0.0,0.0,0.0
llama3.3-70b,v7,10,"[0.20,0.30)",281,0,0,0.0,0.0,0.0
llama3.3-70b,v7,10,≥0.30,23,0,0,0.0,0.0,0.0
llama3.3-70b,pp2prompt_v2,3,"[0.00,0.03)",1305,192,37,0.1471264367816092,0.028352490421455937,0.17547892720306513
llama3.3-70b,pp2prompt_v2,3,"[0.03,0.05)",564,46,19,0.08156028368794327,0.03368794326241135,0.11524822695035461
llama3.3-70b,pp2prompt_v2,3,"[0.05,0.10)",1022,21,78,0.02054794520547945,0.07632093933463796,0.09686888454011741
llama3.3-70b,pp2prompt_v2,3,"[0.10,0.15)",711,2,33,0.0028129395218002813,0.046413502109704644,0.04922644163150492
llama3.3-70b,pp2prompt_v2,3,"[0.15,0.20)",460,0,25,0.0,0.05434782608695652,0.05434782608695652
llama3.3-70b,pp2prompt_v2,3,"[0.20,0.30)",281,0,19,0.0,0.06761565836298933,0.06761565836298933
llama3.3-70b,pp2prompt_v2,3,≥0.30,23,0,0,0.0,0.0,0.0
llama3.3-70b,pp2prompt_v2,5,"[0.00,0.03)",1496,224,70,0.1497326203208556,0.04679144385026738,0.196524064171123
llama3.3-70b,pp2prompt_v2,5,"[0.03,0.05)",606,44,31,0.07260726072607261,0.05115511551155116,0.12376237623762376
llama3.3-70b,pp2prompt_v2,5,"[0.05,0.10)",1058,36,91,0.034026465028355386,0.08601134215500945,0.12003780718336483
llama3.3-70b,pp2prompt_v2,5,"[0.10,0.15)",712,2,57,0.0028089887640449437,0.0800561797752809,0.08286516853932584
llama3.3-70b,pp2prompt_v2,5,"[0.15,0.20)",461,0,40,0.0,0.08676789587852494,0.08676789587852494
llama3.3-70b,pp2prompt_v2,5,"[0.20,0.30)",281,0,29,0.0,0.10320284697508897,0.10320284697508897
llama3.3-70b,pp2prompt_v2,5,≥0.30,23,0,2,0.0,0.08695652173913043,0.08695652173913043
llama3.3-70b,pp2prompt_v2,10,"[0.00,0.03)",1760,387,148,0.21988636363636363,0.08409090909090909,0.3039772727272727
llama3.3-70b,pp2prompt_v2,10,"[0.03,0.05)",652,98,70,0.15030674846625766,0.10736196319018405,0.25766871165644173
llama3.3-70b,pp2prompt_v2,10,"[0.05,0.10)",1072,60,115,0.055970149253731345,0.10727611940298508,0.16324626865671643
llama3.3-70b,pp2prompt_v2,10,"[0.10,0.15)",714,4,55,0.0056022408963585435,0.07703081232492998,0.08263305322128851
llama3.3-70b,pp2prompt_v2,10,"[0.15,0.20)",461,0,38,0.0,0.0824295010845987,0.0824295010845987
llama3.3-70b,pp2prompt_v2,10,"[0.20,0.30)",281,0,27,0.0,0.09608540925266904,0.09608540925266904
llama3.3-70b,pp2prompt_v2,10,≥0.30,23,0,1,0.0,0.043478260869565216,0.043478260869565216
