model,topk,hpo_lo,hpo_hi,n,promotions,demotions,promo_rate,demo_rate,net
gemma3-27b,10,3,5,883,42,2,0.04756511891279728,0.0022650056625141564,40
gemma3-27b,10,5,8,1248,36,2,0.028846153846153848,0.0016025641025641025,34
gemma3-27b,10,8,12,1378,14,0,0.010159651669085631,0.0,14
gemma3-27b,10,12,20,1120,7,1,0.00625,0.0008928571428571428,6
gemma3-27b,10,20,100,334,2,0,0.005988023952095809,0.0,2
gemma4-31b,10,3,5,883,113,3,0.12797281993204984,0.0033975084937712344,110
gemma4-31b,10,5,8,1248,71,5,0.05689102564102564,0.004006410256410256,66
gemma4-31b,10,8,12,1378,26,5,0.018867924528301886,0.00362844702467344,21
gemma4-31b,10,12,20,1120,7,20,0.00625,0.017857142857142856,-13
gemma4-31b,10,20,100,334,2,2,0.005988023952095809,0.005988023952095809,0
llama3.3-70b,10,3,5,883,68,5,0.07701019252548132,0.0056625141562853904,63
llama3.3-70b,10,5,8,1248,31,4,0.024839743589743588,0.003205128205128205,27
llama3.3-70b,10,8,12,1378,17,0,0.012336719883889695,0.0,17
llama3.3-70b,10,12,20,1120,0,1,0.0,0.0008928571428571428,-1
llama3.3-70b,10,20,100,334,0,0,0.0,0.0,0
