disease,category,n_cases,n_non_ret,non_ret_rate,hpoa_annotations
Developmental and epileptic encephalopathy 11,Epilepsy / Neurological,260,214,0.8231,11
Developmental and epileptic encephalopathy 4,Epilepsy / Neurological,430,208,0.4837,24
Glass syndrome,Other,147,120,0.8163,55
KBG syndrome,Other,304,87,0.2862,54
Xia-Gibbs syndrome,Other,65,56,0.8615,187
"Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency",Renal / Nephrotic,50,50,1.0,12
"Immunodeficiency, common variable, 13",Immunodeficiency,72,49,0.6806,10
"Developmental delay, dysmorphic facies, and brain anomalies",Other,48,45,0.9375,22
Houge-Janssen syndrome 2,Other,56,41,0.7321,36
Neurodevelopmental disorder with coarse facies and mild distal skeletal abnormalities,Skeletal dysplasia,66,40,0.6061,230
"Short stature, optic nerve atrophy, and Pelger-Huet anomaly",Other,51,34,0.6667,34
Coffin-Siris syndrome 8,Other,57,33,0.5789,27
Kabuki syndrome 2,Other,73,28,0.3836,50
ZTTK SYNDROME,Other,50,18,0.36,82
Developmental and epileptic encephalopathy 28,Epilepsy / Neurological,47,17,0.3617,47
Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities,Intellectual disability,51,15,0.2941,122
"Intellectual developmental disorder, X-linked 112",Intellectual disability,33,13,0.3939,41
DiGeorge syndrome,Immunodeficiency,22,12,0.5455,75
"Epilepsy, early-onset, 3, with or without developmental delay",Epilepsy / Neurological,27,12,0.4444,20
"Seizures, benign familial infantile, 3",Epilepsy / Neurological,20,11,0.55,7
Developmental and epileptic encephalopathy 5,Epilepsy / Neurological,21,10,0.4762,19
White-Sutton syndrome,Other,113,10,0.0885,134
"Cardiac, facial, and digital anomalies with developmental delay",Other,45,10,0.2222,70
Luscan-Lumish syndrome,Other,27,9,0.3333,33
"Autoinflammatory syndrome, familial, with or without immunodeficiency",Immunodeficiency,17,7,0.4118,17
Weiss-Kruszka syndrome,Other,35,7,0.2,35
Neurodevelopmental disorder with or without variable brain abnormalities,Intellectual disability,18,6,0.3333,60
Coffin-Siris syndrome 3,Other,18,5,0.2778,41
"Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart",Intellectual disability,21,5,0.2381,86
Sulfite oxidase deficiency,Other,23,5,0.2174,34
"Spinocerebellar ataxia 29, congenital nonprogressive",Epilepsy / Neurological,94,4,0.0426,135
Noonan syndrome 1,Rasopathy / RAS pathway,24,4,0.1667,57
Hutchinson-Gilford progeria,Other,15,4,0.2667,13
"Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects",Other,5,4,0.8,9
"Coenzyme Q10 deficiency, primary, 7",Other,34,4,0.1176,58
"Intellectual developmental disorder, autosomal recessive 5",Intellectual disability,11,3,0.2727,49
Intellectual developmental disorder with autism and macrocephaly,Intellectual disability,66,3,0.0455,76
"Cortical dysplasia, complex, with other brain malformations 14A, (bilateral frontoparietal)",Other,7,3,0.4286,21
Rabin-Pappas syndrome,Other,14,3,0.2143,40
Glycine encephalopathy 2,Other,5,3,0.6,7
"Acrofacial dysostosis, Cincinnati type",Skeletal dysplasia,17,3,0.1765,99
"Microcephaly 6, primary, autosomal recessive",Other,3,3,1.0,10
"Intellectual developmental disorder, autosomal dominant 70",Intellectual disability,3,3,1.0,33
Loeys-Dietz syndrome 2,Marfan / Connective tissue,49,2,0.0408,62
Pitt-Hopkins like syndrome 1,Other,56,2,0.0357,84
CHARGE syndrome,Other,5,2,0.4,89
