comparison,n,both,ret_only,sys2_only,neither,ret_hit1,sys2_hit1,oracle_hit1,complementary_cases
PhenoPacket ret vs LLM (Med42),6898,420,3113,376,2989,0.5122,0.1154,0.5667,3489
PhenoPacket ret vs reranker (G4 v7 top10),6898,3503,30,218,3147,0.5122,0.5394,0.5438,248
RAMEDIS ret vs LLM fuzzy (standard),624,37,27,255,305,0.1026,0.4679,0.5112,282
RAMEDIS ret vs LLM exact (fair),624,22,42,193,367,0.1026,0.3446,0.4119,235
RAMEDIS ret vs LLM multi-truth exact,624,22,42,193,367,0.1026,0.3446,0.4119,235
HMS ret vs LLM fuzzy (standard),68,1,4,13,50,0.0735,0.2059,0.2647,17
HMS ret vs LLM exact (fair),68,0,5,0,63,0.0735,0.0,0.0735,5
HMS ret vs LLM multi-truth exact,68,1,4,1,62,0.0735,0.0294,0.0882,5
LIRICAL ret vs LLM fuzzy (standard),370,33,162,26,149,0.527,0.1595,0.5973,188
LIRICAL ret vs LLM exact (fair),370,8,187,5,170,0.527,0.0351,0.5405,192
LIRICAL ret vs LLM multi-truth exact,370,8,187,5,170,0.527,0.0351,0.5405,192
MME ret vs LLM fuzzy (standard),40,0,26,1,13,0.65,0.025,0.675,27
MME ret vs LLM exact (fair),40,0,26,0,14,0.65,0.0,0.65,26
MME ret vs LLM multi-truth exact,40,0,26,0,14,0.65,0.0,0.65,26
