dataset,system,model,topk,hit@1_strict,hit@5_strict,hit@10_strict,mrr_strict,hit@1_policy,hit@10_policy
phenopacket,PhenoDP (retriever),PhenoDP,50,0.5123895087668454,0.6719316041153456,0.7191711346181713,0.5854688395223799,0.5123895087668454,0.7191711346181713
phenopacket,Reranker (top5),gemma4-31b,5,0.5374583393711057,0.6719316041153456,0.7191711346181713,0.6010535373922539,,
phenopacket,Unrestricted LLM,llama70b-legacy,N/A,0.16251087271672948,0.2654392577558713,0.31661351116265585,0.20790135857184278,0.18048709770948101,0.35546535227602205
phenopacket,Unrestricted LLM,llama-3.3-70b,N/A,0.14308495216004638,0.25572629747752973,0.29878225572629746,0.19204462518825294,0.16671498985213104,0.34633227022325314
phenopacket,Unrestricted LLM,gemma-4-31b,N/A,0.12249927515221803,0.19933314004059147,0.23108147289069295,0.15580407479508668,0.1570020295737895,0.2660191359814439
phenopacket,Unrestricted LLM,med42-70b,N/A,0.11539576688895332,0.24093940272542766,0.2776167004928965,0.17065786006783398,0.13366193099449117,0.3256016236590316
phenopacket,Unrestricted LLM,qwen2.5-32b,N/A,0.10539286749782546,0.17077413743113945,0.19483908379240358,0.13308637779861324,0.12728327051319224,0.23789504204117135
phenopacket,Unrestricted LLM,medgemma-27b,N/A,0.10234850681356915,0.15830675558132792,0.17294868077703682,0.1258968553111783,0.12423890982893593,0.22165845172513773
rarebench/HMS,PhenoDP (retriever),PhenoDP,50,0.056818181818181816,0.19318181818181818,0.2840909090909091,0.12071253401739747,0.056818181818181816,0.2840909090909091
rarebench/HMS,Reranker (top10),llama3.3-70b,10,0.060240963855421686,,0.2891566265060241,0.1219602770304937,,
rarebench/HMS,Unrestricted LLM,med42-70b,N/A,0.20588235294117646,0.27941176470588236,0.3235294117647059,0.2378267973856209,0.20588235294117646,0.3235294117647059
rarebench/HMS,Unrestricted LLM,llama-3.3-70b,N/A,0.17647058823529413,0.3088235294117647,0.36764705882352944,0.23713235294117646,0.17647058823529413,0.36764705882352944
