model,dataset,prompt,topk,n_log_files,total_in_window,promotions,demotions,no_change,promotion_rate,demotion_rate,net_benefit,promoted_to_rank1,demoted_from_rank1,truth_not_in_window,truth_not_retrieved,fallbacks,fallback_rate
gemma3-27b,phenopacket,pp2prompt_v2,10,6901,4963,720,849,3394,0.1450735442272819,0.17106588756800323,-129,386,615,660,1278,10,0.0020149103364900263
gemma3-27b,phenopacket,pp2prompt_v2,3,6901,4366,381,475,3510,0.08726523133302794,0.10879523591387998,-94,330,453,1257,1278,4,0.0009161704076958314
gemma3-27b,phenopacket,pp2prompt_v2,5,6901,4637,537,689,3411,0.11580763424627992,0.1485874487815398,-152,364,546,986,1278,5,0.0010782833728703904
gemma3-27b,rarebench,pp2prompt_v2,10,1122,573,182,92,299,0.31762652705061084,0.16055846422338568,90,111,53,169,380,1,0.0017452006980802793
gemma3-27b,rarebench,pp2prompt_v2,3,1122,429,79,47,303,0.18414918414918416,0.10955710955710955,32,68,39,313,380,2,0.004662004662004662
gemma3-27b,rarebench,pp2prompt_v2,5,1122,492,121,65,306,0.2459349593495935,0.13211382113821138,56,77,42,250,380,0,0.0
gemma3-27b,rarebench,v7,10,1122,573,38,0,535,0.06631762652705062,0.0,38,13,0,169,380,96,0.16753926701570682
gemma3-27b,rarebench,v7,3,1122,429,11,1,417,0.02564102564102564,0.002331002331002331,10,3,0,313,380,2,0.004662004662004662
gemma3-27b,rarebench,v7,5,1122,492,30,5,457,0.06097560975609756,0.01016260162601626,25,3,1,250,380,15,0.03048780487804878
gemma3-27b,phenopacket,v7,10,6901,4963,101,5,4857,0.020350594398549266,0.0010074551682450132,96,29,3,660,1278,491,0.09893209752166028
gemma3-27b,phenopacket,v7,3,6901,4366,32,2,4332,0.007329363261566651,0.0004580852038479157,30,7,0,1257,1278,0,0.0
gemma3-27b,phenopacket,v7,5,6901,4637,98,10,4529,0.021134354108259652,0.0021565667457407807,88,19,3,986,1278,83,0.01789950398964848
gemma4-31b,phenopacket,pp2prompt_v2,10,6901,4963,261,217,4485,0.052589159782389684,0.04372355430183357,44,194,176,660,1278,22,0.004432802740278058
gemma4-31b,phenopacket,pp2prompt_v2,3,6901,4366,276,317,3773,0.06321575813101236,0.07260650480989464,-41,252,298,1257,1278,6,0.001374255611543747
gemma4-31b,phenopacket,pp2prompt_v2,5,6901,4637,330,343,3964,0.07116670260944576,0.07397023937890877,-13,282,298,986,1278,9,0.0019409100711667026
gemma4-31b,rarebench,pp2prompt_v2,10,1122,573,125,40,408,0.2181500872600349,0.06980802792321117,85,82,20,169,380,2,0.0034904013961605585
gemma4-31b,rarebench,pp2prompt_v2,3,1122,429,73,27,329,0.17016317016317017,0.06293706293706294,46,63,23,313,380,1,0.002331002331002331
gemma4-31b,rarebench,pp2prompt_v2,5,1122,492,108,39,345,0.21951219512195122,0.07926829268292683,69,80,27,250,380,1,0.0020325203252032522
gemma4-31b,rarebench,v7,10,1122,573,4,0,569,0.006980802792321117,0.0,4,4,0,169,380,31,0.05410122164048865
gemma4-31b,rarebench,v7,3,1122,429,6,1,422,0.013986013986013986,0.002331002331002331,5,6,1,313,380,0,0.0
gemma4-31b,rarebench,v7,5,1122,492,2,0,490,0.0040650406504065045,0.0,2,2,0,250,380,58,0.11788617886178862
gemma4-31b,phenopacket,v7,10,6901,4963,262,67,4634,0.05279065081603869,0.013499899254483175,195,261,50,660,1278,114,0.0229699778359863
gemma4-31b,phenopacket,v7,3,6901,4366,198,42,4126,0.04535043518094366,0.00961978928080623,156,196,41,1257,1278,0,0.0
gemma4-31b,phenopacket,v7,5,6901,4637,213,48,4376,0.04593487168427863,0.010351520379555747,165,213,40,986,1278,0,0.0
llama3.3-70b,phenopacket,pp2prompt_v2,10,6901,4963,546,454,3963,0.11001410437235543,0.09147692927664719,92,319,324,660,1278,56,0.011283497884344146
llama3.3-70b,phenopacket,pp2prompt_v2,3,6901,4366,261,211,3894,0.059780119102153,0.048327989005955106,50,230,191,1257,1278,42,0.00961978928080623
llama3.3-70b,phenopacket,pp2prompt_v2,5,6901,4637,306,320,4011,0.0659909424196679,0.06901013586370498,-14,225,268,986,1278,142,0.030623247789519085
llama3.3-70b,rarebench,pp2prompt_v2,10,1122,573,174,52,347,0.3036649214659686,0.09075043630017451,122,113,28,169,380,2,0.0034904013961605585
llama3.3-70b,rarebench,pp2prompt_v2,3,1122,429,71,21,337,0.1655011655011655,0.04895104895104895,50,64,16,313,380,0,0.0
llama3.3-70b,rarebench,pp2prompt_v2,5,1122,492,102,39,351,0.2073170731707317,0.07926829268292683,63,82,22,250,380,3,0.006097560975609756
llama3.3-70b,rarebench,v7,10,1122,573,1,0,572,0.0017452006980802793,0.0,1,0,0,169,380,0,0.0
llama3.3-70b,rarebench,v7,3,1122,429,1,0,428,0.002331002331002331,0.0,1,1,0,313,380,0,0.0
llama3.3-70b,rarebench,v7,5,1122,492,0,0,492,0.0,0.0,0,0,0,250,380,0,0.0
llama3.3-70b,phenopacket,v7,10,6901,4963,116,10,4837,0.023372959903284304,0.0020149103364900263,106,106,10,660,1278,323,0.06508160386862785
llama3.3-70b,phenopacket,v7,3,6901,4366,98,11,4257,0.02244617498854787,0.0025194686211635364,87,92,11,1257,1278,0,0.0
llama3.3-70b,phenopacket,v7,5,6901,4637,102,10,4525,0.021996980806555964,0.0021565667457407807,92,83,10,986,1278,8,0.0017252533965926246
